Group,Mouse,Level,BF,Q10dB
WT,1,-10,NaN,NaN
WT,1,0,7500,NaN
WT,1,10,8000,2.45902745628171
WT,1,20,8000,2.65459006018337
WT,1,30,8000,2.36564554978474
WT,1,40,8000,2.1188662292788
WT,1,50,7000,1.73510321349183
WT,1,60,7000,1.06192021333327
WT,1,70,3000,0.45131573244004
WT,1,80,3000,0.545080204394993
WT,1,90,3000,0.618275584123374
WT,2,-10,8500,NaN
WT,2,0,8000,NaN
WT,2,10,8000,2.83205936779166
WT,2,20,8500,2.97164056398278
WT,2,30,8000,2.7767379300493
WT,2,40,7500,2.28539161575311
WT,2,50,7500,1.64929680360957
WT,2,60,7500,1.49960923238349
WT,2,70,6500,1.27703372297964
WT,2,80,5000,0.996962482545504
WT,2,90,5000,1.22074289070508
WT,3,-10,NaN,NaN
WT,3,0,9000,3.48644822452396
WT,3,10,9000,3.28966065474956
WT,3,20,9000,3.55493440484818
WT,3,30,9000,3.03428712564442
WT,3,40,8000,2.06688180969551
WT,3,50,8000,1.78078205549024
WT,3,60,7500,1.48256976851129
WT,3,70,6500,1.27541202496685
WT,3,80,6000,1.34125488058443
WT,3,90,5500,1.38036631239882
WT,4,-10,NaN,NaN
WT,4,0,8000,NaN
WT,4,10,8000,2.27847710726321
WT,4,20,8000,2.17782556133415
WT,4,30,8000,2.41249079595689
WT,4,40,8000,2.0439061800002
WT,4,50,7500,1.68245971250101
WT,4,60,7000,1.49123807532974
WT,4,70,7000,1.3548762744691
WT,4,80,5500,1.14805189362288
WT,4,90,5500,1.36102381882167
WT,5,-10,NaN,NaN
WT,5,0,8000,NaN
WT,5,10,3800,NaN
WT,5,20,8000,1.35344348133762
WT,5,30,8000,1.37680011867571
WT,5,40,7500,1.24489430313669
WT,5,50,4500,0.802242351967914
WT,5,60,4500,0.877545414105892
WT,5,70,4500,1.09375798186512
WT,5,80,4000,1.40519193891823
WT,5,90,3500,1.09119041590131
WT,6,-10,8000,NaN
WT,6,0,9000,NaN
WT,6,10,8500,NaN
WT,6,20,9000,2.65837249848361
WT,6,30,9000,2.67292770322826
WT,6,40,9000,2.5112262747338
WT,6,50,8000,2.0700172811815
WT,6,60,8000,1.72690389342258
WT,6,70,7000,1.34731413692599
WT,6,80,7000,1.35334664236016
WT,6,90,6000,1.23135951637432
