Group,Mouse,Freq,Gain3070
WT,1,500,NaN
WT,1,1000,NaN
WT,1,1500,NaN
WT,1,2000,NaN
WT,1,2500,-25.3670424026754
WT,1,3000,-24.0180258302162
WT,1,3500,NaN
WT,1,4000,NaN
WT,1,4500,-21.040534945679
WT,1,5000,-18.3062116792807
WT,1,5500,-18.5423517919755
WT,1,6000,-14.8835813033752
WT,1,6500,-9.99062764099319
WT,1,7000,-4.12258700614308
WT,1,7500,1.65350182537458
WT,1,8000,8.60234839493607
WT,1,8500,11.8881503091752
WT,1,9000,14.816261607647
WT,1,9500,14.7532699931627
WT,1,10000,14.369941827723
WT,1,10500,NaN
WT,1,11000,NaN
WT,1,11500,NaN
WT,1,12000,NaN
WT,1,12500,NaN
WT,1,13000,NaN
WT,1,13500,NaN
WT,1,14000,NaN
WT,1,14500,NaN
WT,1,15000,NaN
WT,2,500,NaN
WT,2,1000,NaN
WT,2,1500,NaN
WT,2,2000,NaN
WT,2,2500,NaN
WT,2,3000,NaN
WT,2,3500,NaN
WT,2,4000,NaN
WT,2,4500,-17.3044470549
WT,2,5000,-16.5524959957917
WT,2,5500,-11.6229652472591
WT,2,6000,NaN
WT,2,6500,-9.84262080058856
WT,2,7000,-1.50179066188274
WT,2,7500,5.8252615019089
WT,2,8000,12.2121203912391
WT,2,8500,13.6882294906595
WT,2,9000,18.6606690057243
WT,2,9500,17.6616119860724
WT,2,10000,24.6048667462942
WT,2,10500,NaN
WT,2,11000,NaN
WT,2,11500,NaN
WT,2,12000,NaN
WT,2,12500,NaN
WT,2,13000,NaN
WT,2,13500,NaN
WT,2,14000,NaN
WT,2,14500,NaN
WT,2,15000,NaN
WT,3,500,NaN
WT,3,1000,NaN
WT,3,1500,NaN
WT,3,2000,NaN
WT,3,2500,NaN
WT,3,3000,NaN
WT,3,3500,NaN
WT,3,4000,NaN
WT,3,4500,NaN
WT,3,5000,-17.2168860114994
WT,3,5500,-13.6885036969486
WT,3,6000,-10.4974441190683
WT,3,6500,-6.07409302669388
WT,3,7000,-0.926334977494598
WT,3,7500,4.61509032556712
WT,3,8000,11.4240304372266
WT,3,8500,18.9404830342128
WT,3,9000,22.3416740803896
WT,3,9500,25.3715143827938
WT,3,10000,26.4458271211306
WT,3,10500,25.3353919773428
WT,3,11000,36.6633206522581
WT,3,11500,23.5400832512232
WT,3,12000,31.0470581877784
WT,3,12500,NaN
WT,3,13000,NaN
WT,3,13500,NaN
WT,3,14000,NaN
WT,3,14500,NaN
WT,3,15000,NaN
WT,4,500,NaN
WT,4,1000,NaN
WT,4,1500,NaN
WT,4,2000,NaN
WT,4,2500,NaN
WT,4,3000,NaN
WT,4,3500,-15.2907156441692
WT,4,4000,NaN
WT,4,4500,-17.9408361021714
WT,4,5000,-15.2427314759129
WT,4,5500,-13.405678564338
WT,4,6000,-11.5123849645026
WT,4,6500,-8.97073434220063
WT,4,7000,-3.78139029499477
WT,4,7500,-0.133458585633697
WT,4,8000,6.86443241512777
WT,4,8500,10.5343187829081
