experiment,genotype,freq,level,mag,phi
1,WT,500,-10,NaN,NaN
1,WT,1000,-10,NaN,NaN
1,WT,1500,-10,NaN,NaN
1,WT,2000,-10,NaN,NaN
1,WT,2500,-10,NaN,NaN
1,WT,3000,-10,NaN,NaN
1,WT,3500,-10,NaN,NaN
1,WT,4000,-10,NaN,NaN
1,WT,4500,-10,NaN,NaN
1,WT,5000,-10,NaN,NaN
1,WT,5500,-10,NaN,NaN
1,WT,6000,-10,NaN,NaN
1,WT,6500,-10,NaN,NaN
1,WT,7000,-10,0.0371771182872035,-1.61300226532855
1,WT,7500,-10,NaN,NaN
1,WT,8000,-10,0.0380193659379819,-2.22055450010479
1,WT,8500,-10,NaN,NaN
1,WT,9000,-10,NaN,NaN
1,WT,9500,-10,NaN,NaN
1,WT,10000,-10,NaN,NaN
1,WT,10500,-10,NaN,NaN
1,WT,11000,-10,NaN,NaN
1,WT,11500,-10,NaN,NaN
1,WT,12000,-10,NaN,NaN
1,WT,12500,-10,NaN,NaN
1,WT,13000,-10,NaN,NaN
1,WT,13500,-10,NaN,NaN
1,WT,14000,-10,NaN,NaN
1,WT,14500,-10,NaN,NaN
1,WT,15000,-10,NaN,NaN
1,WT,500,0,NaN,NaN
1,WT,1000,0,NaN,NaN
1,WT,1500,0,NaN,NaN
1,WT,2000,0,NaN,NaN
1,WT,2500,0,NaN,NaN
1,WT,3000,0,NaN,NaN
1,WT,3500,0,NaN,NaN
1,WT,4000,0,NaN,NaN
1,WT,4500,0,NaN,NaN
1,WT,5000,0,NaN,NaN
1,WT,5500,0,NaN,NaN
1,WT,6000,0,NaN,NaN
1,WT,6500,0,0.0418583569084852,-1.39241621887018
1,WT,7000,0,0.0609243381626531,-1.61847661863897
1,WT,7500,0,0.128792961560933,-1.92382505555172
1,WT,8000,0,0.105562708584327,-2.24970077012237
1,WT,8500,0,0.110572807287275,-2.58641633820701
1,WT,9000,0,0.0733524154529594,-3.03419764433789
1,WT,9500,0,0.0390513821322512,-2.61523919645639
1,WT,10000,0,NaN,NaN
1,WT,10500,0,NaN,NaN
1,WT,11000,0,NaN,NaN
1,WT,11500,0,NaN,NaN
1,WT,12000,0,NaN,NaN
1,WT,12500,0,NaN,NaN
1,WT,13000,0,NaN,NaN
1,WT,13500,0,NaN,NaN
1,WT,14000,0,NaN,NaN
1,WT,14500,0,NaN,NaN
1,WT,15000,0,NaN,NaN
1,WT,500,10,NaN,NaN
1,WT,1000,10,NaN,NaN
1,WT,1500,10,NaN,NaN
1,WT,2000,10,NaN,NaN
1,WT,2500,10,NaN,NaN
1,WT,3000,10,NaN,NaN
1,WT,3500,10,NaN,NaN
1,WT,4000,10,NaN,NaN
