experiment,genotype,freq,gain
1,WT,500,NaN
1,WT,1000,NaN
1,WT,1500,NaN
1,WT,2000,NaN
1,WT,2500,-25.3670424026754
1,WT,3000,-24.0180258302162
1,WT,3500,NaN
1,WT,4000,NaN
1,WT,4500,-21.040534945679
1,WT,5000,-18.3062116792807
1,WT,5500,-18.5423517919755
1,WT,6000,-14.8835813033752
1,WT,6500,-9.99062764099319
1,WT,7000,-4.12258700614308
1,WT,7500,1.65350182537458
1,WT,8000,8.60234839493607
1,WT,8500,11.8881503091752
1,WT,9000,14.816261607647
1,WT,9500,14.7532699931627
1,WT,10000,14.369941827723
1,WT,10500,NaN
1,WT,11000,NaN
1,WT,11500,NaN
1,WT,12000,NaN
1,WT,12500,NaN
1,WT,13000,NaN
1,WT,13500,NaN
1,WT,14000,NaN
1,WT,14500,NaN
1,WT,15000,NaN
2,WT,500,NaN
2,WT,1000,NaN
2,WT,1500,NaN
2,WT,2000,NaN
2,WT,2500,NaN
2,WT,3000,NaN
2,WT,3500,NaN
2,WT,4000,NaN
2,WT,4500,-17.3044470549
2,WT,5000,-16.5524959957917
2,WT,5500,-11.6229652472591
2,WT,6000,NaN
2,WT,6500,-9.84262080058856
2,WT,7000,-1.50179066188274
2,WT,7500,5.8252615019089
2,WT,8000,12.2121203912391
2,WT,8500,13.6882294906595
2,WT,9000,18.6606690057243
2,WT,9500,17.6616119860724
2,WT,10000,24.6048667462942
2,WT,10500,NaN
2,WT,11000,NaN
2,WT,11500,NaN
2,WT,12000,NaN
2,WT,12500,NaN
2,WT,13000,NaN
2,WT,13500,NaN
2,WT,14000,NaN
2,WT,14500,NaN
2,WT,15000,NaN
3,WT,500,NaN
3,WT,1000,NaN
3,WT,1500,NaN
3,WT,2000,NaN
3,WT,2500,NaN
3,WT,3000,NaN
3,WT,3500,NaN
3,WT,4000,NaN
3,WT,4500,NaN
3,WT,5000,-17.2168860114994
3,WT,5500,-13.6885036969486
3,WT,6000,-10.4974441190683
3,WT,6500,-6.07409302669388
3,WT,7000,-0.926334977494598
3,WT,7500,4.61509032556712
3,WT,8000,11.4240304372266
3,WT,8500,18.9404830342128
3,WT,9000,22.3416740803896
3,WT,9500,25.3715143827938
3,WT,10000,26.4458271211306
3,WT,10500,25.3353919773428
3,WT,11000,36.6633206522581
3,WT,11500,23.5400832512232
3,WT,12000,31.0470581877784
3,WT,12500,NaN
3,WT,13000,NaN
3,WT,13500,NaN
3,WT,14000,NaN
3,WT,14500,NaN
3,WT,15000,NaN
4,WT,500,NaN
4,WT,1000,NaN
4,WT,1500,NaN
4,WT,2000,NaN
4,WT,2500,NaN
4,WT,3000,NaN
4,WT,3500,-15.2907156441692
4,WT,4000,NaN
4,WT,4500,-17.9408361021714
4,WT,5000,-15.2427314759129
4,WT,5500,-13.405678564338
4,WT,6000,-11.5123849645026
4,WT,6500,-8.97073434220063
4,WT,7000,-3.78139029499477
4,WT,7500,-0.133458585633697
4,WT,8000,6.86443241512777
4,WT,8500,10.5343187829081
4,WT,9000,13.6794652431868
4,WT,9500,17.7372161131011
4,WT,10000,31.7025838633092
4,WT,10500,16.1881928377539
4,WT,11000,NaN
4,WT,11500,NaN
4,WT,12000,NaN
4,WT,12500,NaN
4,WT,13000,NaN
4,WT,13500,NaN
4,WT,14000,NaN
4,WT,14500,NaN
4,WT,15000,NaN
5,WT,500,NaN
5,WT,1000,NaN
5,WT,1500,NaN
5,WT,2000,NaN
5,WT,2500,NaN
5,WT,3000,NaN
5,WT,3500,-20.7214174635173
5,WT,4000,-18.8919759807706
5,WT,4500,-17.8087497320345
5,WT,5000,-15.4802905232331
5,WT,5500,-13.1041928451149
5,WT,6000,-10.5310127315816
5,WT,6500,-5.35910990645976
5,WT,7000,-1.30350981374157
5,WT,7500,5.05492352130027
5,WT,8000,9.14183710192977
5,WT,8500,13.35836379154
5,WT,9000,16.6652761750807
5,WT,9500,25.3408690467398
5,WT,10000,16.3183076992841
5,WT,10500,NaN
5,WT,11000,NaN
5,WT,11500,NaN
5,WT,12000,NaN
5,WT,12500,NaN
5,WT,13000,NaN
