experiment,genotype,level,q,bf
1,WT,-10,NaN,NaN
1,WT,0,NaN,7500
1,WT,10,2.45902745628171,8000
1,WT,20,2.65459006018337,8000
1,WT,30,2.36564554978474,8000
1,WT,40,2.1188662292788,8000
1,WT,50,1.73510321349183,7000
1,WT,60,1.06192021333327,7000
1,WT,70,0.45131573244004,3000
1,WT,80,0.545080204394993,3000
1,WT,90,0.618275584123374,3000
2,WT,-10,NaN,8500
2,WT,0,NaN,8000
2,WT,10,2.83205936779166,8000
2,WT,20,2.97164056398278,8500
2,WT,30,2.7767379300493,8000
2,WT,40,2.28539161575311,7500
2,WT,50,1.64929680360957,7500
2,WT,60,1.49960923238349,7500
2,WT,70,1.27703372297964,6500
2,WT,80,0.996962482545504,5000
2,WT,90,1.22074289070508,5000
3,WT,-10,NaN,NaN
3,WT,0,3.48644822452396,9000
3,WT,10,3.28966065474956,9000
3,WT,20,3.55493440484818,9000
3,WT,30,3.03428712564442,9000
3,WT,40,2.06688180969551,8000
3,WT,50,1.78078205549024,8000
3,WT,60,1.48256976851129,7500
3,WT,70,1.27541202496685,6500
3,WT,80,1.34125488058443,6000
3,WT,90,1.38036631239882,5500
4,WT,-10,NaN,NaN
4,WT,0,NaN,8000
4,WT,10,2.27847710726321,8000
4,WT,20,2.17782556133415,8000
4,WT,30,2.41249079595689,8000
4,WT,40,2.0439061800002,8000
4,WT,50,1.68245971250101,7500
4,WT,60,1.49123807532974,7000
4,WT,70,1.3548762744691,7000
4,WT,80,1.14805189362288,5500
4,WT,90,1.36102381882167,5500
5,WT,-10,NaN,NaN
5,WT,0,NaN,8000
5,WT,10,NaN,3800
5,WT,20,1.35344348133762,8000
5,WT,30,1.37680011867571,8000
5,WT,40,1.24489430313669,7500
5,WT,50,0.802242351967914,4500
5,WT,60,0.877545414105892,4500
5,WT,70,1.09375798186512,4500
5,WT,80,1.40519193891823,4000
5,WT,90,1.09119041590131,3500
6,WT,-10,NaN,8000
6,WT,0,NaN,9000
6,WT,10,NaN,8500
6,WT,20,2.65837249848361,9000
6,WT,30,2.67292770322826,9000
6,WT,40,2.5112262747338,9000
6,WT,50,2.0700172811815,8000
6,WT,60,1.72690389342258,8000
6,WT,70,1.34731413692599,7000
6,WT,80,1.35334664236016,7000
6,WT,90,1.23135951637432,6000
7,WT,-10,NaN,NaN
7,WT,0,NaN,9000
7,WT,10,2.53637036216619,9000
7,WT,20,3.13163737099274,9000
7,WT,30,3.12252672980945,9000
7,WT,40,2.29395675414099,8500
7,WT,50,1.6885138910665,8000
7,WT,60,1.12353108222099,6500
7,WT,70,1.10936493890339,6500
7,WT,80,1.11496763974323,6500
7,WT,90,1.03580920982582,5000
8,WT,-10,NaN,6500
8,WT,0,3.04748638557513,8500
8,WT,10,3.0974081709328,8000
8,WT,20,3.04567496629374,8000
8,WT,30,2.8752001303231,8000
8,WT,40,2.44630560431888,7500
8,WT,50,1.98326409800197,7500
8,WT,60,1.42158086116557,6500
8,WT,70,1.30537951910843,6500
8,WT,80,1.17260942238263,5500
8,WT,90,1.10316507050102,4500
9,WT,-10,NaN,NaN
9,WT,0,NaN,NaN
9,WT,10,NaN,8500
9,WT,20,2.46262637505798,8500
9,WT,30,2.57937810525934,8500
9,WT,40,2.01582072490171,7000
9,WT,50,1.76709365629751,7000
9,WT,60,1.41313979290738,6500
9,WT,70,1.37193032747755,6500
9,WT,80,1.29566542415487,6000
9,WT,90,1.27111889402772,5500
10,Alpha9KO,-10,NaN,NaN
10,Alpha9KO,0,NaN,7500
10,Alpha9KO,10,1.89314131387238,8000
10,Alpha9KO,20,1.70615489396578,8000
10,Alpha9KO,30,1.76411437698639,8000
10,Alpha9KO,40,1.30528524527425,7000
10,Alpha9KO,50,1.25744953844973,7000
10,Alpha9KO,60,1.09863055988516,6000
10,Alpha9KO,70,1.11366888011966,5500
10,Alpha9KO,80,1.18519964092251,5500
10,Alpha9KO,90,1.10763159961131,5000
11,Alpha9KO,-10,NaN,8000
11,Alpha9KO,0,NaN,8000
11,Alpha9KO,10,2.95358202152952,8500
11,Alpha9KO,20,2.57825730106442,8500
11,Alpha9KO,30,2.22470916847888,8000
11,Alpha9KO,40,2.14948807958979,8000
11,Alpha9KO,50,1.98019801485169,8000
11,Alpha9KO,60,1.4744104347186,7500
11,Alpha9KO,70,1.15782591211533,6500
11,Alpha9KO,80,1.04535782157559,6000
11,Alpha9KO,90,1.0300768778824,5000
12,Alpha9KO,-10,NaN,NaN
12,Alpha9KO,0,NaN,8500
12,Alpha9KO,10,NaN,8500
12,Alpha9KO,20,2.2404012631789,8000
12,Alpha9KO,30,2.80859814681028,8500
12,Alpha9KO,40,2.37778190278488,8500
12,Alpha9KO,50,2.04759567641117,8000
12,Alpha9KO,60,1.71433573631661,8000
12,Alpha9KO,70,1.38949405738435,7000
12,Alpha9KO,80,1.2940855312472,7000
12,Alpha9KO,90,1.11498629894713,5500
13,Alpha9KO,-10,NaN,10000
13,Alpha9KO,0,3.22358872762831,9500
13,Alpha9KO,10,3.253726566277,9500
13,Alpha9KO,20,3.29481322833412,9500
13,Alpha9KO,30,3.05617905943361,9000
13,Alpha9KO,40,2.63784196116333,8500
13,Alpha9KO,50,2.50547833501217,8500
13,Alpha9KO,60,2.19858260975131,8000
13,Alpha9KO,70,1.68192852818345,7500
13,Alpha9KO,80,1.52418431497855,7000
13,Alpha9KO,90,1.17094837459286,2500
14,Alpha9KO,-10,NaN,10500
14,Alpha9KO,0,NaN,9500
14,Alpha9KO,10,NaN,9000
14,Alpha9KO,20,2.5991986790553,9500
14,Alpha9KO,30,2.2753605259321,9500
14,Alpha9KO,40,1.72435940707595,8000
14,Alpha9KO,50,1.60751981975417,7500
14,Alpha9KO,60,1.56851969203771,7500
14,Alpha9KO,70,1.42910863587861,7000
14,Alpha9KO,80,1.16492711159973,6000
14,Alpha9KO,90,1.29170422495195,6000
15,Alpha9KO,-10,NaN,NaN
