experiment,genotype,maxGain,sensCF,sens5k
1,WT,33.0393233872632,74.2755647344952,52.77419184476
2,WT,41.9899408270431,79.1519265382104,45.1680483663068
3,WT,48.881645655306,81.9627569170402,42.7448219039917
4,WT,31.9350992186456,71.5001592983906,44.2105696708888
5,WT,33.5788120942569,71.8137873776783,55.2259997228219
6,WT,41.163262810524,82.4230199402219,37.4302914121991
7,WT,39.4170316675637,74.6967504613079,43.2314500557474
8,WT,47.4333657795625,75.6453141687169,43.077820905748
9,WT,40.647782432325,75.7463216068267,42.0829423164899
10,Alpha9KO,32.3423045436721,73.6927872225666,56.056162493617
11,Alpha9KO,43.4808302455444,80.6345413856191,40.7866288102979
12,Alpha9KO,36.3904482131176,73.8918402259483,37.2285533068199
13,Alpha9KO,50.7279820256813,76.0765215610421,35.3846478687899
14,Alpha9KO,58.8035446684964,72.6734499403547,41.2784060849498
15,Alpha9KO,37.787052889663,65.6928249071947,37.0220558757407
16,Alpha9KO,40.9984429266912,67.5514155189369,40.4032602686828
17,Alpha9KO,45.3314064974905,81.7536181618405,46.188586771207
18,Alpha9KO,53.2397690020257,80.4872021160987,43.1906375395456
19,VGLUT3KO,55.8712056269321,84.7793557284923,40.7978311603558
20,VGLUT3KO,51.7827965785538,85.9993653242688,38.1547496437412
21,VGLUT3KO,66.0225870980136,94.8755785587035,54.4667167475595
22,VGLUT3KO,62.6602809794703,94.705646508171,49.8141409063119
23,VGLUT3KO,48.4990507849951,78.799499912641,41.2704678593363
24,VGLUT3KO,46.5989438922174,82.6262803600791,43.4193829513406
25,VGLUT3KO,51.9427259149445,86.1662149741246,43.3086231343771
26,VGLUT3KO,45.3129405189675,79.4501136715598,48.7934991068259
27,VGLUT3KOAlpha9KO,38.4179636094596,74.392571177549,37.4944931352985
28,VGLUT3KOAlpha9KO,36.5081794930105,73.9893355738446,51.7763921837952
29,VGLUT3KOAlpha9KO,55.6552984890755,88.491428625618,45.6319605906061
30,VGLUT3KOAlpha9KO,28.7228614240239,63.2010830662916,42.3935599664288
31,VGLUT3KOAlpha9KO,30.2543885386978,65.3696778230153,43.3399312285998
32,VGLUT3KOAlpha9KO,48.1190064954945,81.5579077762423,44.2471285993544
33,VGLUT3KOAlpha9KO,52.2612736928552,67.9860626668725,35.8851085270429
34,VGLUT3KOAlpha9KO,50.8598153360356,74.5192257437137,39.8180757091591
35,VGLUT3KOAlpha9KO,47.3482750716021,78.0895848156082,49.6265777745018
