experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Singletone,Alpha9KO,Small,5000,50,1.80532280200539,1.80532280200539
1,Awake,Singletone,Alpha9KO,Small,6000,50,5.19009433743169,5.19009433743169
1,Awake,Singletone,Alpha9KO,Small,7000,50,12.5509364252652,12.5509364252652
1,Awake,Singletone,Alpha9KO,Small,8000,50,18.334927745145,18.334927745145
1,Awake,Singletone,Alpha9KO,Small,9000,50,30.22715487372,30.22715487372
1,Awake,Singletone,Alpha9KO,Small,10000,50,29.1535014437787,29.1535014437787
1,Awake,Singletone,Alpha9KO,Small,11000,50,14.5539577267557,14.5539577267557
1,Awake,Singletone,Alpha9KO,Small,12000,50,2.80580893986756,2.80580893986756
1,Awake,Singletone,Alpha9KO,Small,13000,50,1.15465442874539,1.15465442874539
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.32768827205852,2.32768827205852
1,Awake,Singletone,Alpha9KO,Small,6000,50,3.54779504209511,3.54779504209511
1,Awake,Singletone,Alpha9KO,Small,7000,50,10.869082040836,10.869082040836
1,Awake,Singletone,Alpha9KO,Small,8000,50,15.6585471407641,15.6585471407641
1,Awake,Singletone,Alpha9KO,Small,9000,50,24.5779015202133,24.5779015202133
1,Awake,Singletone,Alpha9KO,Small,10000,50,20.9494878656294,20.9494878656294
1,Awake,Singletone,Alpha9KO,Small,11000,50,9.77220257888949,9.77220257888949
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.72320500310123,1.72320500310123
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.624905554529146,0.624905554529146
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.25392873031171,2.25392873031171
1,Awake,Singletone,Alpha9KO,Small,6000,50,3.97583261909378,3.97583261909378
1,Awake,Singletone,Alpha9KO,Small,7000,50,10.2249214887201,10.2249214887201
1,Awake,Singletone,Alpha9KO,Small,8000,50,13.8283265108385,13.8283265108385
1,Awake,Singletone,Alpha9KO,Small,9000,50,25.0125896352273,25.0125896352273
1,Awake,Singletone,Alpha9KO,Small,10000,50,21.7315005342807,21.7315005342807
1,Awake,Singletone,Alpha9KO,Small,11000,50,9.52186580642208,9.52186580642208
1,Awake,Singletone,Alpha9KO,Small,12000,50,2.23827202096416,2.23827202096416
1,Awake,Singletone,Alpha9KO,Small,13000,50,0.420963350462094,0.420963350462094
1,Awake,Singletone,Alpha9KO,Small,5000,50,1.94279662739727,1.94279662739727
1,Awake,Singletone,Alpha9KO,Small,6000,50,4.75011190552936,4.75011190552936
1,Awake,Singletone,Alpha9KO,Small,7000,50,11.2642413316291,11.2642413316291
1,Awake,Singletone,Alpha9KO,Small,8000,50,15.5046341841898,15.5046341841898
1,Awake,Singletone,Alpha9KO,Small,9000,50,25.8332575435917,25.8332575435917
1,Awake,Singletone,Alpha9KO,Small,10000,50,21.0987849222986,21.0987849222986
1,Awake,Singletone,Alpha9KO,Small,11000,50,10.4105756832405,10.4105756832405
1,Awake,Singletone,Alpha9KO,Small,12000,50,1.51750495512044,1.51750495512044
1,Awake,Singletone,Alpha9KO,Small,13000,50,NaN,NaN
1,Awake,Singletone,Alpha9KO,Small,5000,50,2.51806731664171,2.51806731664171
1,Awake,Singletone,Alpha9KO,Small,6000,50,3.39637505972336,3.39637505972336
1,Awake,Singletone,Alpha9KO,Small,7000,50,7.54842828246322,7.54842828246322
1,Awake,Singletone,Alpha9KO,Small,8000,50,10.9628708310781,10.9628708310781
