experiment,condition,protocol,genotype,pupilSize,level,q,bf
1,Awake,Singletone,Alpha9KO,Small,50,1.95384156235623,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.01556920137843,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.11224715623317,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.02198171209007,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.27945002436523,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.86113982608027,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.14416096900627,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.19997985503732,10000
1,Awake,Singletone,Alpha9KO,Small,50,NaN,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.37160076093899,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.7101356400931,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.81366804585738,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.75455100078747,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.30213895151276,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.25414490167009,9000
1,Awake,Singletone,Alpha9KO,Small,50,NaN,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.23811666864332,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.79304805370152,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.32715261212287,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.58015671741195,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.15490718677209,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.43482462283832,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.54365808240787,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.16340548591586,9000
1,Awake,Singletone,Alpha9KO,Small,50,4.31320492245043,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.33464961065556,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.14341917370965,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.63864771954934,9000
1,Awake,Singletone,Alpha9KO,Small,50,3.15953802140077,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.29418426951411,9000
1,Awake,Singletone,Alpha9KO,Small,50,4.24013041069678,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.34793535863786,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.3356947675707,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.39502420784665,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.27203854942614,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.78153709340514,8000
1,Awake,Singletone,Alpha9KO,Small,50,NaN,10000
1,Awake,Singletone,Alpha9KO,Small,50,1.9149280956437,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.96729132196303,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.09997473702334,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.91184349296753,8000
1,Awake,Singletone,Alpha9KO,Small,50,2.15495520707505,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.38150340442037,9000
1,Awake,Singletone,Alpha9KO,Small,50,NaN,9000
1,Awake,Singletone,Alpha9KO,Small,50,NaN,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.07372608568956,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.1811050277773,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.13693238934972,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.22613903113279,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.06481949351863,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.90116370493079,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.15158774466105,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.91475792567009,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.0130763241948,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.15537606061992,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.33479213948705,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.1468498104497,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.24841556451455,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.55795263120161,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.97242893270769,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.17609030706948,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.42091903882469,9000
1,Awake,Singletone,Alpha9KO,Small,50,NaN,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.07195164406875,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.16555564366185,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.36142776829828,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.74014837926277,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.07669054769912,10000
1,Awake,Singletone,Alpha9KO,Small,50,2.08699269612393,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.35368561952352,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.94634786771145,9000
1,Awake,Singletone,Alpha9KO,Small,50,1.95840030489343,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.07696809143646,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.1530757005692,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.19707666785467,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.07272925733054,9000
1,Awake,Singletone,Alpha9KO,Small,50,2.17435668144281,9000
1,Awake,Singletone,Alpha9KO,Medium,50,1.94236821283776,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.11299606165973,9000
1,Awake,Singletone,Alpha9KO,Medium,50,1.98761019664401,10000
1,Awake,Singletone,Alpha9KO,Medium,50,1.94984119188257,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.31293249129578,10000
1,Awake,Singletone,Alpha9KO,Medium,50,2.05920015769141,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.08329253483219,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.02094946958895,9000
1,Awake,Singletone,Alpha9KO,Medium,50,1.91045980134743,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.23736761557259,10000
1,Awake,Singletone,Alpha9KO,Medium,50,2.1347339295086,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.08028770931027,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.1843570093585,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.00873156052455,9000
1,Awake,Singletone,Alpha9KO,Medium,50,1.97270438372966,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.42453198676962,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.96723219613691,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.23580540688444,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.14168966209352,9000
1,Awake,Singletone,Alpha9KO,Medium,50,3.03446342412596,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.11834284508758,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.45021468218464,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.13258658211316,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.43788501021398,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.59325640425281,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.81755146741654,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.64781356745156,9000
1,Awake,Singletone,Alpha9KO,Medium,50,3.17000354651796,10000
1,Awake,Singletone,Alpha9KO,Medium,50,NaN,10000
1,Awake,Singletone,Alpha9KO,Medium,50,2.266516843566,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.38377390500261,9000
1,Awake,Singletone,Alpha9KO,Medium,50,3.112332704738,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.57688850689166,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.24514690707128,9000
1,Awake,Singletone,Alpha9KO,Medium,50,2.61314754455993,9000
