experiment,condition,protocol,genotype,pupilSize,diameter
1,Awake,Singletone,Alpha9KO,Small,0.513956708457961
1,Awake,Singletone,Alpha9KO,Small,0.485876231553053
1,Awake,Singletone,Alpha9KO,Small,0.449813917626308
1,Awake,Singletone,Alpha9KO,Small,0.48043024057829
1,Awake,Singletone,Alpha9KO,Small,0.505764679478773
1,Awake,Singletone,Alpha9KO,Small,0.508905218243308
1,Awake,Singletone,Alpha9KO,Small,0.516932570317735
1,Awake,Singletone,Alpha9KO,Small,0.505902407603897
1,Awake,Singletone,Alpha9KO,Small,0.515062047929026
1,Awake,Singletone,Alpha9KO,Small,0.516011163195074
1,Awake,Singletone,Alpha9KO,Small,0.510777281885857
1,Awake,Singletone,Alpha9KO,Small,0.47683690782759
1,Awake,Singletone,Alpha9KO,Small,0.483336393832719
1,Awake,Singletone,Alpha9KO,Small,0.500176652130509
1,Awake,Singletone,Alpha9KO,Small,0.517001650263502
1,Awake,Singletone,Alpha9KO,Small,0.490535790469124
1,Awake,Singletone,Alpha9KO,Small,0.510003039005076
1,Awake,Singletone,Alpha9KO,Small,0.516811772825278
1,Awake,Singletone,Alpha9KO,Small,0.498727020497002
1,Awake,Singletone,Alpha9KO,Small,0.501779122924029
1,Awake,Singletone,Alpha9KO,Small,0.498952727931758
1,Awake,Singletone,Alpha9KO,Small,0.46999506555507
1,Awake,Singletone,Alpha9KO,Small,0.511021159327825
1,Awake,Singletone,Alpha9KO,Small,0.516356051455686
1,Awake,Singletone,Alpha9KO,Small,0.45131390314324
1,Awake,Singletone,Alpha9KO,Small,0.468911984372411
1,Awake,Singletone,Alpha9KO,Small,0.479380565648498
1,Awake,Singletone,Alpha9KO,Small,0.444876069408044
1,Awake,Singletone,Alpha9KO,Small,0.507553775812291
1,Awake,Singletone,Alpha9KO,Small,0.497812454082476
1,Awake,Singletone,Alpha9KO,Small,0.485098818306653
1,Awake,Singletone,Alpha9KO,Small,0.447975292442371
1,Awake,Singletone,Alpha9KO,Small,0.482804186835701
1,Awake,Singletone,Alpha9KO,Small,0.509007283850331
1,Awake,Singletone,Alpha9KO,Small,0.504550773835562
1,Awake,Singletone,Alpha9KO,Small,0.496664467077424
1,Awake,Singletone,Alpha9KO,Small,0.508513176121652
1,Awake,Singletone,Alpha9KO,Small,0.508381654181728
1,Awake,Singletone,Alpha9KO,Small,0.474627864259601
1,Awake,Singletone,Alpha9KO,Small,0.494164148304135
1,Awake,Singletone,Alpha9KO,Small,0.472243778390107
1,Awake,Singletone,Alpha9KO,Small,0.48133761966196
1,Awake,Singletone,Alpha9KO,Small,0.494525771198726
1,Awake,Singletone,Alpha9KO,Small,0.499211769535607
1,Awake,Singletone,Alpha9KO,Small,0.508959216761182
1,Awake,Singletone,Alpha9KO,Small,0.480748945462643
1,Awake,Singletone,Alpha9KO,Small,0.514087531540817
1,Awake,Singletone,Alpha9KO,Small,0.486621428216614
1,Awake,Singletone,Alpha9KO,Small,0.516750076952591
1,Awake,Singletone,Alpha9KO,Small,0.479607641400036
1,Awake,Singletone,Alpha9KO,Small,0.477701865427759
1,Awake,Singletone,Alpha9KO,Small,0.498759409220122
1,Awake,Singletone,Alpha9KO,Small,0.488756037849856
1,Awake,Singletone,Alpha9KO,Small,0.511408903054413
1,Awake,Singletone,Alpha9KO,Small,0.485376087198827
1,Awake,Singletone,Alpha9KO,Small,0.491006766213717
1,Awake,Singletone,Alpha9KO,Small,0.492848223294508
1,Awake,Singletone,Alpha9KO,Small,0.469437642818401
1,Awake,Singletone,Alpha9KO,Small,0.50933195261962
1,Awake,Singletone,Alpha9KO,Small,0.512352310230051
1,Awake,Singletone,Alpha9KO,Small,0.506643795867056
1,Awake,Singletone,Alpha9KO,Small,0.517018328314572
1,Awake,Singletone,Alpha9KO,Small,0.49128961025139
1,Awake,Singletone,Alpha9KO,Small,0.453474370327383
1,Awake,Singletone,Alpha9KO,Small,0.443688344205674
1,Awake,Singletone,Alpha9KO,Small,0.462485945167497
1,Awake,Singletone,Alpha9KO,Small,0.470351875548177
1,Awake,Singletone,Alpha9KO,Small,0.448323914671748
1,Awake,Singletone,Alpha9KO,Small,0.438522949543424
1,Awake,Singletone,Alpha9KO,Small,0.490722340672483
1,Awake,Singletone,Alpha9KO,Small,0.479441102695668
1,Awake,Singletone,Alpha9KO,Small,0.456890065038083
1,Awake,Singletone,Alpha9KO,Small,0.494793987275774
1,Awake,Singletone,Alpha9KO,Small,0.471831191829269
1,Awake,Singletone,Alpha9KO,Small,0.452506486368348
1,Awake,Singletone,Alpha9KO,Small,0.448754104385284
1,Awake,Singletone,Alpha9KO,Small,0.472935277833348
1,Awake,Singletone,Alpha9KO,Medium,0.528051497392343
1,Awake,Singletone,Alpha9KO,Medium,0.544626281648352
1,Awake,Singletone,Alpha9KO,Medium,0.555514511901015
1,Awake,Singletone,Alpha9KO,Medium,0.531212461786081
1,Awake,Singletone,Alpha9KO,Medium,0.534029939655897
1,Awake,Singletone,Alpha9KO,Medium,0.524189041420617
1,Awake,Singletone,Alpha9KO,Medium,0.549451849408749
1,Awake,Singletone,Alpha9KO,Medium,0.568149059312387
1,Awake,Singletone,Alpha9KO,Medium,0.579245698214345
1,Awake,Singletone,Alpha9KO,Medium,0.558962537563642
1,Awake,Singletone,Alpha9KO,Medium,0.554305057403925
1,Awake,Singletone,Alpha9KO,Medium,0.538417015823349
1,Awake,Singletone,Alpha9KO,Medium,0.550013395267491
1,Awake,Singletone,Alpha9KO,Medium,0.523338719912938
1,Awake,Singletone,Alpha9KO,Medium,0.531371561744489
1,Awake,Singletone,Alpha9KO,Medium,0.535260493195966
1,Awake,Singletone,Alpha9KO,Medium,0.52317635841781
1,Awake,Singletone,Alpha9KO,Medium,0.566396999541615
1,Awake,Singletone,Alpha9KO,Medium,0.56545712165656
1,Awake,Singletone,Alpha9KO,Medium,0.576422703311433
1,Awake,Singletone,Alpha9KO,Medium,0.558507392160338
1,Awake,Singletone,Alpha9KO,Medium,0.550595739913661
1,Awake,Singletone,Alpha9KO,Medium,0.538188885280093
1,Awake,Singletone,Alpha9KO,Medium,0.535597504025022
1,Awake,Singletone,Alpha9KO,Medium,0.53982490385233
1,Awake,Singletone,Alpha9KO,Medium,0.527178366523494
1,Awake,Singletone,Alpha9KO,Medium,0.541582237186031
1,Awake,Singletone,Alpha9KO,Medium,0.542953991441019
1,Awake,Singletone,Alpha9KO,Medium,0.528256750183989
1,Awake,Singletone,Alpha9KO,Medium,0.543311039319387
1,Awake,Singletone,Alpha9KO,Medium,0.567898346490879
1,Awake,Singletone,Alpha9KO,Medium,0.534149334065676
1,Awake,Singletone,Alpha9KO,Medium,0.536615085462357
1,Awake,Singletone,Alpha9KO,Medium,0.566857441968245
1,Awake,Singletone,Alpha9KO,Medium,0.571370613328387
1,Awake,Singletone,Alpha9KO,Medium,0.546223825430721
1,Awake,Singletone,Alpha9KO,Medium,0.533092668935382
1,Awake,Singletone,Alpha9KO,Medium,0.562402913213573
1,Awake,Singletone,Alpha9KO,Medium,0.519349489861828
1,Awake,Singletone,Alpha9KO,Medium,0.5207108133313
1,Awake,Singletone,Alpha9KO,Medium,0.542682231765638
1,Awake,Singletone,Alpha9KO,Medium,0.565407136306393
1,Awake,Singletone,Alpha9KO,Medium,0.553980200487534
1,Awake,Singletone,Alpha9KO,Medium,0.574881436384572
1,Awake,Singletone,Alpha9KO,Medium,0.573208390326859
1,Awake,Singletone,Alpha9KO,Medium,0.54220336390079
1,Awake,Singletone,Alpha9KO,Medium,0.567559483740845
1,Awake,Singletone,Alpha9KO,Medium,0.570138438187293
1,Awake,Singletone,Alpha9KO,Medium,0.51902875791909
1,Awake,Singletone,Alpha9KO,Medium,0.526223506553229
1,Awake,Singletone,Alpha9KO,Medium,0.537473362935238
1,Awake,Singletone,Alpha9KO,Medium,0.562645268108337
1,Awake,Singletone,Alpha9KO,Medium,0.547083799248305
1,Awake,Singletone,Alpha9KO,Medium,0.532333851754254
1,Awake,Singletone,Alpha9KO,Medium,0.558630063150773
