experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,Small,4068,10,0.507298281927786,-0.124920078450869
1,Awake,Multitone,WT,Small,4588,10,NaN,NaN
1,Awake,Multitone,WT,Small,5110,10,0.467030052485402,-1.01197073576635
1,Awake,Multitone,WT,Small,5635,10,NaN,NaN
1,Awake,Multitone,WT,Small,6163,10,0.373448506485981,-0.960926671005222
1,Awake,Multitone,WT,Small,6693,10,0.77896309256928,-1.04319221142509
1,Awake,Multitone,WT,Small,7225,10,NaN,NaN
1,Awake,Multitone,WT,Small,7760,10,0.594040839218707,-1.72663411292569
1,Awake,Multitone,WT,Small,8298,10,0.640869577385085,-1.50851838107561
1,Awake,Multitone,WT,Small,8838,10,0.61532203314577,-1.5247808950627
1,Awake,Multitone,WT,Small,9380,10,0.691868674904691,-1.73416057419027
1,Awake,Multitone,WT,Small,9925,10,0.83635328204514,-1.52357347105097
1,Awake,Multitone,WT,Small,10473,10,0.676748910374498,-1.53419864690878
1,Awake,Multitone,WT,Small,11023,10,0.561171096979559,-1.96430839792011
1,Awake,Multitone,WT,Small,11575,10,0.563958030281634,-2.44968890894269
1,Awake,Multitone,WT,Small,12130,10,0.604475519905765,-2.28412644257565
1,Awake,Multitone,WT,Small,12688,10,0.609566841449953,-2.44300545347517
1,Awake,Multitone,WT,Small,13248,10,NaN,NaN
1,Awake,Multitone,WT,Small,13810,10,0.44340522240677,-1.84837178316384
1,Awake,Multitone,WT,Small,14375,10,NaN,NaN
1,Awake,Multitone,WT,Small,4068,20,0.59328115926249,-0.317096377548813
1,Awake,Multitone,WT,Small,4588,20,0.527313726439592,-0.218459129216984
1,Awake,Multitone,WT,Small,5110,20,0.686786030088414,-0.738498148845813
1,Awake,Multitone,WT,Small,5635,20,0.394095085226401,-0.73359334044332
1,Awake,Multitone,WT,Small,6163,20,0.464393146956536,-1.35020722582852
1,Awake,Multitone,WT,Small,6693,20,0.508562762714477,-1.57614463816627
1,Awake,Multitone,WT,Small,7225,20,0.659487330627255,-1.67898297046029
1,Awake,Multitone,WT,Small,7760,20,0.638847856097908,-1.66549066794485
1,Awake,Multitone,WT,Small,8298,20,0.701352419936517,-1.28247503220334
1,Awake,Multitone,WT,Small,8838,20,1.0976081877242,-1.51263154405043
1,Awake,Multitone,WT,Small,9380,20,1.3891351641607,-1.81466380809424
1,Awake,Multitone,WT,Small,9925,20,1.91532860605205,-1.56233825980992
1,Awake,Multitone,WT,Small,10473,20,1.28238578846442,-1.73882089020518
1,Awake,Multitone,WT,Small,11023,20,1.05927626178216,-2.16641306229823
1,Awake,Multitone,WT,Small,11575,20,0.784319131580316,-2.54186238027856
1,Awake,Multitone,WT,Small,12130,20,0.900832015781952,-2.32943107519512
1,Awake,Multitone,WT,Small,12688,20,0.516245595506879,-2.49959397768272
1,Awake,Multitone,WT,Small,13248,20,0.538018896603542,-3.04755889866133
