experiment,condition,protocol,genotype,pupilSize,freq,level,mag,phi
1,Awake,Multitone,WT,na,4068,10,0.637198211377519,-0.247985868001963
1,Awake,Multitone,WT,na,4588,10,0.636936301851211,-0.763034447094952
1,Awake,Multitone,WT,na,5110,10,0.612657853044631,-0.826850829143276
1,Awake,Multitone,WT,na,5635,10,0.734169438629739,-0.685664990705451
1,Awake,Multitone,WT,na,6163,10,0.47984469195796,-1.0464642289455
1,Awake,Multitone,WT,na,6693,10,0.768279237321516,-1.13995358449994
1,Awake,Multitone,WT,na,7225,10,0.608364987455494,-1.77793872608285
1,Awake,Multitone,WT,na,7760,10,0.550329223899009,-1.71885949358194
1,Awake,Multitone,WT,na,8298,10,0.603445324026436,-1.5428752100409
1,Awake,Multitone,WT,na,8838,10,0.72622944493461,-1.63598065221099
1,Awake,Multitone,WT,na,9380,10,0.751811717713767,-1.98262058097568
1,Awake,Multitone,WT,na,9925,10,0.965178452382578,-1.66497486535838
1,Awake,Multitone,WT,na,10473,10,0.805169625716759,-1.84421449667834
1,Awake,Multitone,WT,na,11023,10,0.70623090453506,-2.20444241580739
1,Awake,Multitone,WT,na,11575,10,0.692327251875069,-2.44576760303522
1,Awake,Multitone,WT,na,12130,10,0.70555163671237,-2.41553529380681
1,Awake,Multitone,WT,na,12688,10,0.637042542904592,-2.47819919737015
1,Awake,Multitone,WT,na,13248,10,0.570895238648319,-2.38746098216249
1,Awake,Multitone,WT,na,13810,10,0.455894965237204,-1.99939470045784
1,Awake,Multitone,WT,na,14375,10,0.751440064064542,-2.62421027323996
1,Awake,Multitone,WT,na,4068,20,0.653335205551781,-0.174853955620206
1,Awake,Multitone,WT,na,4588,20,0.624714151523822,-0.363099433583706
1,Awake,Multitone,WT,na,5110,20,0.594416271274439,-0.702214767175751
1,Awake,Multitone,WT,na,5635,20,0.523575098189863,-0.805328429506245
1,Awake,Multitone,WT,na,6163,20,0.743027251814624,-1.37928509003821
1,Awake,Multitone,WT,na,6693,20,0.676873949943914,-1.5766505264651
1,Awake,Multitone,WT,na,7225,20,0.671603998297886,-1.70465257894967
1,Awake,Multitone,WT,na,7760,20,0.618850861565801,-1.75116373347046
1,Awake,Multitone,WT,na,8298,20,0.757366972973498,-1.42166148864513
1,Awake,Multitone,WT,na,8838,20,1.22649711495103,-1.65202287717573
1,Awake,Multitone,WT,na,9380,20,1.47316046054341,-1.95950851003342
1,Awake,Multitone,WT,na,9925,20,2.136434653104,-1.69418793197471
1,Awake,Multitone,WT,na,10473,20,1.49013080984916,-1.87223155573159
1,Awake,Multitone,WT,na,11023,20,1.17225536757694,-2.17620395254057
1,Awake,Multitone,WT,na,11575,20,0.922972938753665,-2.50921995716385
1,Awake,Multitone,WT,na,12130,20,1.03499483713854,-2.4217104704675
1,Awake,Multitone,WT,na,12688,20,0.637541229439731,-2.54039378228929
1,Awake,Multitone,WT,na,13248,20,0.622823129001161,-2.46137658705316
1,Awake,Multitone,WT,na,13810,20,0.668319413986241,-2.52532926502278
1,Awake,Multitone,WT,na,14375,20,0.638700633374262,-3.1638902993884
1,Awake,Multitone,WT,na,4068,30,0.758716279759661,-0.31818601822811
1,Awake,Multitone,WT,na,4588,30,0.644898025289612,-0.463861459049454
1,Awake,Multitone,WT,na,5110,30,0.622429707865456,-0.722349292776815
1,Awake,Multitone,WT,na,5635,30,0.708260777139802,-0.813529244218451
1,Awake,Multitone,WT,na,6163,30,0.645698109325044,-1.20351650831366
1,Awake,Multitone,WT,na,6693,30,0.722179275854248,-1.52677663434618
1,Awake,Multitone,WT,na,7225,30,0.637933375405422,-1.70650059567567
1,Awake,Multitone,WT,na,7760,30,0.728993187606564,-1.75964422460785
1,Awake,Multitone,WT,na,8298,30,1.55244922742874,-1.44382961415133
1,Awake,Multitone,WT,na,8838,30,2.80245879489112,-1.66139128631223
1,Awake,Multitone,WT,na,9380,30,3.24788240807954,-1.97439496018243
1,Awake,Multitone,WT,na,9925,30,4.6348275605543,-1.70341925425817
1,Awake,Multitone,WT,na,10473,30,2.90251728463445,-1.87723858526443
1,Awake,Multitone,WT,na,11023,30,2.16320051468005,-2.18620968643775
1,Awake,Multitone,WT,na,11575,30,1.43651160664197,-2.50996293159064
1,Awake,Multitone,WT,na,12130,30,1.40353503695007,-2.39712916771668
1,Awake,Multitone,WT,na,12688,30,0.701128891166833,-2.47930203759362
1,Awake,Multitone,WT,na,13248,30,0.733371721400284,-2.35202151418382
1,Awake,Multitone,WT,na,13810,30,0.557232141257102,-2.22158229133887
1,Awake,Multitone,WT,na,14375,30,0.654090487461674,-1.98225067338454
1,Awake,Multitone,WT,na,4068,40,0.732687020517239,-0.286201793834599
1,Awake,Multitone,WT,na,4588,40,0.714282735821817,-0.448308977936956
1,Awake,Multitone,WT,na,5110,40,0.80954634973335,-0.73750854278363
1,Awake,Multitone,WT,na,5635,40,0.864084472458045,-0.798097938205236
1,Awake,Multitone,WT,na,6163,40,0.822096977002931,-1.24826545118088
1,Awake,Multitone,WT,na,6693,40,0.917287875322928,-1.5294948677819
1,Awake,Multitone,WT,na,7225,40,0.857046587662895,-1.72694974479365
1,Awake,Multitone,WT,na,7760,40,1.17359664558513,-1.75622423905773
1,Awake,Multitone,WT,na,8298,40,3.03608534417724,-1.45104939569623
1,Awake,Multitone,WT,na,8838,40,5.56520116775175,-1.68299139446549
1,Awake,Multitone,WT,na,9380,40,5.56870436546841,-2.01150577209928
