experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
1,Awake,Multitone,WT,Small,4068,13.3897503305739,13.8104165542024
1,Awake,Multitone,WT,Small,4588,13.0108683804125,14.0832310177907
1,Awake,Multitone,WT,Small,5110,10.3706790662243,13.4992719221609
1,Awake,Multitone,WT,Small,5635,4.84663410629926,12.5416852918937
1,Awake,Multitone,WT,Small,6163,7.56466863504509,13.3183041594746
1,Awake,Multitone,WT,Small,6693,5.96419327763995,13.7946121112875
1,Awake,Multitone,WT,Small,7225,13.003149016231,14.2331093757395
1,Awake,Multitone,WT,Small,7760,13.0583987908033,15.6717634523946
1,Awake,Multitone,WT,Small,8298,9.27283291479326,17.9448284262797
1,Awake,Multitone,WT,Small,8838,10.9734997630811,20.4555448445654
1,Awake,Multitone,WT,Small,9380,18.1582583623087,24.2061624897772
1,Awake,Multitone,WT,Small,9925,21.2661328217887,24.3327113222715
1,Awake,Multitone,WT,Small,10473,25.0102232596999,25.5865331884632
1,Awake,Multitone,WT,Small,11023,26.8585149826655,26.4659400186518
1,Awake,Multitone,WT,Small,11575,30.5826198439616,26.6031183409929
1,Awake,Multitone,WT,Small,12130,34.5402184050578,26.1709010688171
1,Awake,Multitone,WT,Small,12688,29.0286681763627,24.7133883552062
1,Awake,Multitone,WT,Small,13248,NaN,NaN
1,Awake,Multitone,WT,Small,13810,32.4107539691263,27.1996497275789
1,Awake,Multitone,WT,Small,14375,NaN,NaN
2,Awake,Multitone,WT,Small,4068,22.1226546348523,17.5888309939174
2,Awake,Multitone,WT,Small,4588,20.2461658953076,16.7350209742632
2,Awake,Multitone,WT,Small,5110,15.1819807572159,16.0678479561396
2,Awake,Multitone,WT,Small,5635,13.623617026292,14.4705109440619
2,Awake,Multitone,WT,Small,6163,19.2804573863265,13.4022005857668
2,Awake,Multitone,WT,Small,6693,11.1444042796521,14.1664218397
2,Awake,Multitone,WT,Small,7225,12.1787848411944,14.9666525180624
2,Awake,Multitone,WT,Small,7760,10.2621322646359,15.3326562970302
