experiment,condition,protocol,genotype,pupilSize,freq,gain1,gain2
1,Awake,Multitone,WT,na,4068,15.1705498203032,14.0717106320414
1,Awake,Multitone,WT,na,4588,13.2325045455225,13.6669199826201
1,Awake,Multitone,WT,na,5110,9.47342097142975,13.6599335268974
1,Awake,Multitone,WT,na,5635,7.57438493359875,13.0892076880527
1,Awake,Multitone,WT,na,6163,12.1128433405659,13.6385379762292
1,Awake,Multitone,WT,na,6693,10.1457020489138,13.783467117779
1,Awake,Multitone,WT,na,7225,13.4281058132541,14.3266183319117
1,Awake,Multitone,WT,na,7760,13.8575558933295,15.6812063726002
1,Awake,Multitone,WT,na,8298,10.252306005971,18.2630144673395
1,Awake,Multitone,WT,na,8838,12.1143506537602,20.5085927264635
1,Awake,Multitone,WT,na,9380,18.6366392756559,24.4653338707422
1,Awake,Multitone,WT,na,9925,22.3083029561436,24.192427450088
1,Awake,Multitone,WT,na,10473,26.3191851551945,25.3688287136039
1,Awake,Multitone,WT,na,11023,27.8318584475408,26.2610017973542
1,Awake,Multitone,WT,na,11575,31.4780362605996,26.0936406690877
1,Awake,Multitone,WT,na,12130,35.3550233432953,27.2301669267071
1,Awake,Multitone,WT,na,12688,33.8318959014985,26.9332210917265
1,Awake,Multitone,WT,na,13248,27.5403747701383,NaN
1,Awake,Multitone,WT,na,13810,32.4107539691263,27.1996497275789
1,Awake,Multitone,WT,na,14375,NaN,NaN
2,Awake,Multitone,WT,na,4068,18.6304782254118,16.2445794492163
2,Awake,Multitone,WT,na,4588,17.1208968816798,16.6880153484007
2,Awake,Multitone,WT,na,5110,14.4767576810245,15.4336861371857
2,Awake,Multitone,WT,na,5635,13.0484779871644,14.7304889533083
2,Awake,Multitone,WT,na,6163,13.0123546878122,14.0372632680284
2,Awake,Multitone,WT,na,6693,9.99862523489503,13.7454079228242
2,Awake,Multitone,WT,na,7225,11.7574152248511,14.3308748951582
2,Awake,Multitone,WT,na,7760,11.3841944227918,15.0848992328777
2,Awake,Multitone,WT,na,8298,12.6900667410908,16.5343200566556
2,Awake,Multitone,WT,na,8838,10.4269333185944,18.6057213252787
2,Awake,Multitone,WT,na,9380,11.6590820144569,20.5730238557291
2,Awake,Multitone,WT,na,9925,13.1577344812504,22.1574659737623
2,Awake,Multitone,WT,na,10473,17.454715821232,23.0814384475748
2,Awake,Multitone,WT,na,11023,22.8815371254853,24.7045493444905
2,Awake,Multitone,WT,na,11575,29.3864581668619,25.4028952985184
2,Awake,Multitone,WT,na,12130,34.9910573893877,27.9915158080723
2,Awake,Multitone,WT,na,12688,34.4610605575293,27.2557718556189
2,Awake,Multitone,WT,na,13248,33.2258704878025,28.0445234521963
2,Awake,Multitone,WT,na,13810,34.900054410665,NaN
2,Awake,Multitone,WT,na,14375,NaN,NaN
3,Awake,Multitone,WT,na,4068,6.76556126834911,15.2736559280858
3,Awake,Multitone,WT,na,4588,15.7064213532101,16.921411087398
3,Awake,Multitone,WT,na,5110,11.3204171332581,16.0608640835604
3,Awake,Multitone,WT,na,5635,10.034772116462,16.0887873218039
3,Awake,Multitone,WT,na,6163,10.0186332471233,16.1920627094345
3,Awake,Multitone,WT,na,6693,9.76511642048279,15.9490295047386
3,Awake,Multitone,WT,na,7225,9.21169359098266,15.4512767754037
3,Awake,Multitone,WT,na,7760,8.54563255138725,16.0365768841083
3,Awake,Multitone,WT,na,8298,7.99353959203641,18.5853704924578
3,Awake,Multitone,WT,na,8838,8.37913406832406,19.9465129151341
3,Awake,Multitone,WT,na,9380,11.4209043631638,21.9576300264865
3,Awake,Multitone,WT,na,9925,15.3645113630526,23.6982053821343
3,Awake,Multitone,WT,na,10473,21.1413563863363,25.0719977382421
