experiment,condition,protocol,genotype,pupilSize,level,q,bf
1,Awake,Multitone,WT,Small,10,NaN,10145.1
1,Awake,Multitone,WT,Small,20,3.4713483823545,9925
1,Awake,Multitone,WT,Small,30,3.11020188387634,9925
1,Awake,Multitone,WT,Small,40,3.01896621553278,9925
1,Awake,Multitone,WT,Small,50,2.95135360976492,9783.21739130435
1,Awake,Multitone,WT,Small,60,2.59509063080902,8838
1,Awake,Multitone,WT,Small,70,2.09863045734129,8814.52173913043
1,Awake,Multitone,WT,Small,80,1.53844119466014,8744.73913043478
2,Awake,Multitone,WT,Small,10,NaN,11959.2307692308
2,Awake,Multitone,WT,Small,20,5.3972221904422,12130
2,Awake,Multitone,WT,Small,30,4.26755165757079,12070.8214285714
2,Awake,Multitone,WT,Small,40,2.77178207593341,11695.8571428571
2,Awake,Multitone,WT,Small,50,2.13520956493767,10394.9285714286
2,Awake,Multitone,WT,Small,60,1.6355013946263,9399.46428571429
2,Awake,Multitone,WT,Small,70,1.40758930692814,9380
2,Awake,Multitone,WT,Small,80,1.20921578018109,8742.21428571429
3,Awake,Multitone,WT,Small,10,NaN,11928.9393939394
3,Awake,Multitone,WT,Small,20,3.79908858883546,11908.5428571429
3,Awake,Multitone,WT,Small,30,2.92040609558726,11718.9428571429
3,Awake,Multitone,WT,Small,40,2.36036741852216,11150.5428571429
3,Awake,Multitone,WT,Small,50,2.03676666878255,10160.6285714286
3,Awake,Multitone,WT,Small,60,1.72875356504052,9957.6
3,Awake,Multitone,WT,Small,70,1.3248131642476,9055.31428571429
3,Awake,Multitone,WT,Small,80,1.24204192053041,8838
4,Awake,Multitone,WT,Small,10,NaN,12130
4,Awake,Multitone,WT,Small,20,NaN,11134.8
4,Awake,Multitone,WT,Small,30,NaN,10473.4
4,Awake,Multitone,WT,Small,40,3.0279045528734,10363.4
4,Awake,Multitone,WT,Small,50,2.8918159491008,9489
4,Awake,Multitone,WT,Small,60,1.79200329563454,9380
4,Awake,Multitone,WT,Small,70,NaN,9380
4,Awake,Multitone,WT,Small,80,NaN,6693
5,Awake,Multitone,WT,Small,10,5.04471661708302,11043.5185185185
5,Awake,Multitone,WT,Small,20,4.10956724624167,10955.2142857143
5,Awake,Multitone,WT,Small,30,3.23457710248974,10875.6785714286
5,Awake,Multitone,WT,Small,40,2.78678570806747,10473
5,Awake,Multitone,WT,Small,50,2.44597848979894,10473
5,Awake,Multitone,WT,Small,60,1.83857756184012,10424.1785714286
5,Awake,Multitone,WT,Small,70,1.25383661796256,9399.51785714286
5,Awake,Multitone,WT,Small,80,1.24115784746327,8724
6,Awake,Multitone,WT,Small,10,NaN,11813.2857142857
6,Awake,Multitone,WT,Small,20,3.73776351176006,11852.8928571429
6,Awake,Multitone,WT,Small,30,3.40112266044207,11594.8214285714
6,Awake,Multitone,WT,Small,40,2.62244880625395,11575
6,Awake,Multitone,WT,Small,50,2.22033826181687,11535.6428571429
6,Awake,Multitone,WT,Small,60,1.76158771149843,10317.25
6,Awake,Multitone,WT,Small,70,1.29557100143832,9303.64285714286
6,Awake,Multitone,WT,Small,80,1.16857424447569,8935.21428571429
1,Awake,Multitone,WT,Medium,10,NaN,9884.5
1,Awake,Multitone,WT,Medium,20,3.1401693722236,9989.83823529412
1,Awake,Multitone,WT,Medium,30,3.10693958944621,9917.32394366197
1,Awake,Multitone,WT,Medium,40,3.00162533471296,9925
1,Awake,Multitone,WT,Medium,50,2.91646753821926,9741.28169014085
1,Awake,Multitone,WT,Medium,60,2.51341571527065,8868.61971830986
1,Awake,Multitone,WT,Medium,70,1.91570654236799,8838
1,Awake,Multitone,WT,Medium,80,1.61770010834998,8807.78873239437
2,Awake,Multitone,WT,Medium,10,NaN,12066.3114754098
