experiment,condition,protocol,genotype,pupilSize,level,q,bf
1,Awake,Multitone,WT,na,10,NaN,9988.01886792453
1,Awake,Multitone,WT,na,20,2.98696347846348,9946.5503875969
1,Awake,Multitone,WT,na,30,3.11261709481799,9916.80451127819
1,Awake,Multitone,WT,na,40,3.00215576330925,9916.82706766917
1,Awake,Multitone,WT,na,50,2.90798238245576,9679.81203007519
1,Awake,Multitone,WT,na,60,2.52155491422406,8854.34586466165
1,Awake,Multitone,WT,na,70,2.00397969414579,8833.93984962406
1,Awake,Multitone,WT,na,80,1.671088212741,8789.61654135338
2,Awake,Multitone,WT,na,10,NaN,12041.2
2,Awake,Multitone,WT,na,20,5.56808568014886,12106.676056338
2,Awake,Multitone,WT,na,30,4.34931847766293,12119.1699346405
2,Awake,Multitone,WT,na,40,2.8886736917326,11875.3831168831
2,Awake,Multitone,WT,na,50,2.16156984862042,10341.7922077922
2,Awake,Multitone,WT,na,60,1.64767694742963,9504.17532467533
2,Awake,Multitone,WT,na,70,1.3760325127267,9387.0974025974
2,Awake,Multitone,WT,na,80,1.32489860071334,9113.1038961039
3,Awake,Multitone,WT,na,10,4.55835991119233,12013.243902439
3,Awake,Multitone,WT,na,20,3.79522403662358,11889.8897058824
3,Awake,Multitone,WT,na,30,2.91943722831809,11694.9558823529
3,Awake,Multitone,WT,na,40,2.37331794228052,11215.1838235294
3,Awake,Multitone,WT,na,50,2.07969411021509,10235.8823529412
3,Awake,Multitone,WT,na,60,1.78035644779931,10087.2352941176
3,Awake,Multitone,WT,na,70,1.3362403346226,9073.33088235294
3,Awake,Multitone,WT,na,80,1.25724655017697,8847.03333333333
4,Awake,Multitone,WT,na,10,NaN,11555.0384615385
4,Awake,Multitone,WT,na,20,3.77864184649373,11095.9294117647
4,Awake,Multitone,WT,na,30,2.95872316068286,10715.6703296703
4,Awake,Multitone,WT,na,40,2.68747448117051,10419.7472527473
4,Awake,Multitone,WT,na,50,2.32540273259423,9674.08791208791
4,Awake,Multitone,WT,na,60,1.69361990860934,9446.04395604396
4,Awake,Multitone,WT,na,70,1.40172033207392,8831.82857142857
4,Awake,Multitone,WT,na,80,1.32648046991993,7861.8
5,Awake,Multitone,WT,na,10,4.93111871976297,11063.4959349594
5,Awake,Multitone,WT,na,20,4.04412781042618,11010.9962686567
5,Awake,Multitone,WT,na,30,3.26978374436485,10893.2322097378
5,Awake,Multitone,WT,na,40,2.78057210763766,10477.1044776119
5,Awake,Multitone,WT,na,50,2.42439391508953,10473
5,Awake,Multitone,WT,na,60,1.85899154684819,10379.1194029851
5,Awake,Multitone,WT,na,70,1.2518709587034,9447.48507462687
5,Awake,Multitone,WT,na,80,1.20029389430738,8804.98507462687
6,Awake,Multitone,WT,na,10,4.55146415350553,11299.8651685393
6,Awake,Multitone,WT,na,20,3.95375148379454,11288.0431034483
6,Awake,Multitone,WT,na,30,3.22432188443665,11108.8025751073
6,Awake,Multitone,WT,na,40,2.70393852376273,10849.7521367521
6,Awake,Multitone,WT,na,50,2.35105121343124,10812.0854700855
6,Awake,Multitone,WT,na,60,1.81558244746941,10365.7222222222
6,Awake,Multitone,WT,na,70,1.29318510715368,9455.14102564103
6,Awake,Multitone,WT,na,80,1.17192942274615,8906.19230769231
7,Awake,Multitone,Alpha9KO,na,10,4.11205419666489,10590.5833333333
7,Awake,Multitone,Alpha9KO,na,20,3.71363009862413,10409.7142857143
7,Awake,Multitone,Alpha9KO,na,30,3.12612723775798,10074.976744186
7,Awake,Multitone,Alpha9KO,na,40,2.88403769106978,9809.63720930233
