experiment,genotype,pupilBin,gain,cf,q,mag,maglow,phase
1,WT,1,NaN,NaN,NaN,NaN,NaN,NaN
1,WT,2,NaN,NaN,NaN,NaN,NaN,NaN
1,WT,3,22.9532488676834,9925,NaN,1.59708302750079,1.7787609916402,-1.96873549877564
1,WT,4,23.0096417025004,10003.9285714286,NaN,2.48134476157467,2.04476576664833,-2.05889439315435
1,WT,5,23.8235008302193,9957.23529411765,NaN,2.23452097116888,1.98461060491093,-1.5714914572852
1,WT,6,23.516877788882,9977.15625,NaN,2.2190315348051,1.90763425312582,-1.66014130181214
1,WT,7,23.605544630549,9925.13043478261,NaN,2.06454701384101,1.95750818120365,-1.75992967809366
1,WT,8,NaN,NaN,NaN,NaN,NaN,NaN
1,WT,9,NaN,NaN,NaN,NaN,NaN,NaN
1,WT,10,NaN,NaN,NaN,NaN,NaN,NaN
2,WT,1,NaN,NaN,NaN,NaN,NaN,NaN
2,WT,2,NaN,NaN,NaN,NaN,NaN,NaN
2,WT,3,NaN,NaN,NaN,NaN,NaN,NaN
2,WT,4,35.6812043696201,12130,NaN,2.42515187229391,1.99285113466575,-3.08392965665133
2,WT,5,NaN,NaN,NaN,NaN,NaN,NaN
2,WT,6,34.9259482289078,12130,5.19461267320205,2.73483028835327,2.00971554574425,-3.1223247225369
2,WT,7,34.3180788939137,12040.4864864865,NaN,2.51882728574462,1.89469944160117,-3.07661451857278
2,WT,8,35.1859217033261,12130,NaN,2.58295071577882,1.8378101057528,-3.09922972796604
2,WT,9,NaN,NaN,NaN,NaN,NaN,NaN
2,WT,10,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,1,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,2,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,3,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,4,35.4242782202359,11889.1739130435,NaN,2.9686620827928,2.17446019588437,-2.97476016752573
3,WT,5,33.0847067986195,11701.375,3.83776600816366,3.11619333425334,2.08660601390998,-2.84300583853229
3,WT,6,33.7686377179176,12013.9069767442,3.71111476173894,3.45504516499415,2.20665385486296,-2.87237559411616
3,WT,7,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,8,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,9,NaN,NaN,NaN,NaN,NaN,NaN
3,WT,10,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,1,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,2,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,3,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,4,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,5,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,6,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,7,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,8,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,9,NaN,NaN,NaN,NaN,NaN,NaN
4,WT,10,NaN,NaN,NaN,NaN,NaN,NaN
5,WT,1,NaN,NaN,NaN,NaN,NaN,NaN
5,WT,2,NaN,NaN,NaN,NaN,NaN,NaN
5,WT,3,NaN,NaN,NaN,NaN,NaN,NaN
5,WT,4,29.0191514892446,10842.2380952381,3.99269858509983,2.73026193575897,2.18452706678983,-2.81885960815452
5,WT,5,29.3885915980977,11006.5820895522,4.10231257840259,2.92148076183701,2.1164041155269,-2.7734518964539
5,WT,6,29.3188403576213,11036.5060240964,4.01495254652573,2.76848934733614,2.01022686641081,-2.76231283097186
5,WT,7,29.5823954512057,11049.3174603175,4.0922814173749,2.96620166783482,2.06651721592918,-2.79537821349684
5,WT,8,28.6798580712336,10979,3.90039052745845,2.71023135524058,1.91713370732755,-2.72320740949867
5,WT,9,NaN,NaN,NaN,NaN,NaN,NaN
5,WT,10,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,1,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,2,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,3,30.4921309097897,11853,NaN,2.44950771754546,1.44801849409893,-2.64127063033887
6,WT,4,30.8384471313164,11780.6666666667,NaN,2.25268229023898,1.37136221902393,-2.55457700733132
6,WT,5,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,6,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,7,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,8,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,9,NaN,NaN,NaN,NaN,NaN,NaN
6,WT,10,NaN,NaN,NaN,NaN,NaN,NaN
7,Alpha9KO,1,NaN,NaN,NaN,NaN,NaN,NaN
7,Alpha9KO,2,NaN,NaN,NaN,NaN,NaN,NaN
7,Alpha9KO,3,NaN,NaN,NaN,NaN,NaN,NaN
7,Alpha9KO,4,35.663280333095,10199.75,NaN,2.66751441489459,3.36049900594565,-1.73907274799236
7,Alpha9KO,5,33.2683280628034,10152.7931034483,NaN,2.53745691627614,3.23927385663134,-1.84307957094403
7,Alpha9KO,6,35.0691841963259,9989.73076923077,NaN,2.50189626356382,3.37494347467967,-1.90248650591627
7,Alpha9KO,7,NaN,NaN,NaN,NaN,3.70599123051783,NaN
7,Alpha9KO,8,35.4101328443561,10394.9285714286,NaN,2.64338611615194,3.69159408719202,-1.71359273526805
7,Alpha9KO,9,NaN,NaN,NaN,NaN,NaN,NaN
7,Alpha9KO,10,NaN,NaN,NaN,NaN,NaN,NaN
8,Alpha9KO,1,NaN,NaN,NaN,NaN,NaN,NaN
8,Alpha9KO,2,NaN,NaN,NaN,NaN,NaN,NaN
8,Alpha9KO,3,NaN,NaN,NaN,NaN,NaN,NaN
8,Alpha9KO,4,38.4985480838041,10954.25,NaN,3.59011968650616,3.11575554865813,-1.91431193210152
8,Alpha9KO,5,NaN,NaN,NaN,NaN,NaN,NaN
8,Alpha9KO,6,38.7260633885762,10853.7692307692,NaN,2.88233194647907,2.44620131793834,-1.4866935416139
8,Alpha9KO,7,38.0335830794396,10924.7857142857,4.39624111564183,3.24477100602145,2.79473316699206,-1.67198334879763
8,Alpha9KO,8,37.7618055906412,10921.9795918367,NaN,3.21251278856642,2.70326583135216,-1.75470190888596
8,Alpha9KO,9,40.4894214967328,10885.5,NaN,2.80420464744262,2.52441627513735,-1.91822981350956
8,Alpha9KO,10,NaN,NaN,NaN,NaN,NaN,NaN
9,Alpha9KO,1,NaN,NaN,NaN,NaN,NaN,NaN
9,Alpha9KO,2,NaN,NaN,NaN,NaN,NaN,NaN
9,Alpha9KO,3,31.5927333003871,9925,4.66601340498171,2.69170314436538,1.51091631921107,-1.76225982409882
9,Alpha9KO,4,31.1761549951036,9925,4.10870712274911,2.75217987468129,1.60196913800721,-1.75429203913398
9,Alpha9KO,5,30.6954711568295,9921.21527777778,3.9943629227015,2.92216953619162,1.66050163735741,-1.76648582554691
9,Alpha9KO,6,30.3854100392084,9919.13978494624,3.84548348361006,2.6153566173707,1.51538415220192,-1.76246727089428
9,Alpha9KO,7,30.4388728161281,9904.81481481482,4.0235590095495,2.37211391267311,1.41239875587304,-1.75436536383379
9,Alpha9KO,8,NaN,NaN,NaN,NaN,NaN,NaN
9,Alpha9KO,9,NaN,NaN,NaN,NaN,NaN,NaN
9,Alpha9KO,10,NaN,NaN,NaN,NaN,NaN,NaN
10,Alpha9KO,1,NaN,NaN,NaN,NaN,NaN,NaN
10,Alpha9KO,2,NaN,NaN,NaN,NaN,NaN,NaN
10,Alpha9KO,3,31.2510966513913,9925,NaN,3.08739004661218,1.70047293950542,-1.75153553038647
10,Alpha9KO,4,30.3759134725513,9925,4.26354348303552,2.92173754464902,1.64899527395983,-1.76140092432126
10,Alpha9KO,5,31.0585829046268,9925,4.27985401931518,3.32564188826736,1.69787244787995,-1.75341293253693
10,Alpha9KO,6,30.4696566244927,9925,3.70503990606948,3.20357352437263,1.7390846118734,-1.74975064540593
10,Alpha9KO,7,30.7916349925146,9925,4.17668202921364,2.6862888492333,1.52563259954281,-1.74903332108819
10,Alpha9KO,8,NaN,NaN,NaN,NaN,NaN,NaN
10,Alpha9KO,9,NaN,NaN,NaN,NaN,NaN,NaN
10,Alpha9KO,10,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,1,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,2,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,3,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,4,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,5,29.4315182706314,10504.8333333333,NaN,1.68904569010022,1.58376413683015,-2.67905362266507
11,Alpha9KO,6,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,7,25.8711048875216,10115.6086956522,NaN,1.82052353609687,1.50811467252349,-2.49218827592547
11,Alpha9KO,8,26.5877262667004,10124.2727272727,NaN,1.86312867812922,1.30787979842731,-2.53195175874096
11,Alpha9KO,9,NaN,NaN,NaN,NaN,NaN,NaN
11,Alpha9KO,10,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,1,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,2,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,3,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,4,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,5,32.9127707461709,11790.6923076923,NaN,1.47723346306313,1.20483140937813,-2.87153775693159
12,Alpha9KO,6,31.3502387579995,11837.2941176471,NaN,1.27981503033341,1.30381109414448,-2.90615939835184
12,Alpha9KO,7,29.7577537103148,11495.8148148148,NaN,1.27620471435462,1.24319565071318,-2.79106913496528
12,Alpha9KO,8,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,9,NaN,NaN,NaN,NaN,NaN,NaN
12,Alpha9KO,10,NaN,NaN,NaN,NaN,NaN,NaN
